narration_id,participant_id,video_id,start_frame,stop_frame,verb
P01_01_177,P01,P01_01,49172,49252,1
P01_01_178,P01,P01_01,49273,49344,3
P01_01_179,P01,P01_01,49344,49510,0
P01_01_18,P01,P01_01,3210,3360,0
P01_01_180,P01,P01_01,49456,49546,1
P01_01_181,P01,P01_01,49614,49716,0
P01_01_182,P01,P01_01,49753,50118,3
P01_01_183,P01,P01_01,50348,50426,1
P01_01_184,P01,P01_01,50442,50498,0
P01_01_187,P01,P01_01,51855,51918,1
P01_01_188,P01,P01_01,51960,52036,0
P01_01_189,P01,P01_01,52175,52261,0
P01_01_19,P01,P01_01,3213,3261,0
P01_01_190,P01,P01_01,52252,52506,7
P01_01_191,P01,P01_01,52528,53104,3
P01_01_193,P01,P01_01,53371,53455,1
P01_01_195,P01,P01_01,54250,54310,1
P01_01_196,P01,P01_01,54316,54491,0
P01_01_2,P01,P01_01,418,569,4
P01_01_20,P01,P01_01,3283,3344,1
P01_01_200,P01,P01_01,55298,55343,0
P01_01_202,P01,P01_01,55717,55797,0
P01_01_206,P01,P01_01,57102,57182,4
P01_01_207,P01,P01_01,57237,57300,3
P01_01_208,P01,P01_01,57303,57412,5
P01_01_21,P01,P01_01,3366,3396,4
P01_01_210,P01,P01_01,57569,57630,0
P01_01_211,P01,P01_01,58225,58269,0
P01_01_212,P01,P01_01,58275,58317,3
P01_01_214,P01,P01_01,59018,59140,4
P01_01_215,P01,P01_01,59185,59289,1
P01_01_216,P01,P01_01,59376,59616,0
P01_01_217,P01,P01_01,59672,59824,3
P01_01_218,P01,P01_01,59830,60475,5
P01_01_219,P01,P01_01,60460,60567,4
P01_01_22,P01,P01_01,3447,3522,1
P01_01_220,P01,P01_01,60596,60653,0
P01_01_225,P01,P01_01,62015,62073,1
P01_01_226,P01,P01_01,62102,62257,0
P01_01_227,P01,P01_01,62217,62485,0
P01_01_228,P01,P01_01,62413,62920,1
P01_01_229,P01,P01_01,62491,62762,1
P01_01_23,P01,P01_01,3543,3738,6
P01_01_230,P01,P01_01,62778,62904,3
P01_01_231,P01,P01_01,63100,63166,0
P01_01_233,P01,P01_01,63992,64055,1
P01_01_234,P01,P01_01,64449,64576,0
P01_01_235,P01,P01_01,64522,64602,3
P01_01_237,P01,P01_01,64741,65014,4
P01_01_238,P01,P01_01,65020,65073,1
P01_01_239,P01,P01_01,65186,65277,0
P01_01_24,P01,P01_01,3711,3913,2
P01_01_243,P01,P01_01,67915,68025,1
P01_01_246,P01,P01_01,70714,70831,1
P01_01_248,P01,P01_01,72849,72924,0
P01_01_249,P01,P01_01,72911,73550,1
P01_01_25,P01,P01_01,3912,4387,2
P01_01_251,P01,P01_01,73536,73596,0
P01_01_254,P01,P01_01,74168,74335,1
P01_01_255,P01,P01_01,74873,74985,3
P01_01_256,P01,P01_01,75063,75179,0
P01_01_257,P01,P01_01,75839,75921,0
P01_01_26,P01,P01_01,4457,4733,2
P01_01_260,P01,P01_01,76353,76437,1
P01_01_261,P01,P01_01,76567,76656,1
P01_01_262,P01,P01_01,76843,76892,0
P01_01_265,P01,P01_01,77757,77818,1
P01_01_266,P01,P01_01,78270,78327,0
P01_01_268,P01,P01_01,78688,78841,1
P01_01_27,P01,P01_01,4739,4967,2
P01_01_271,P01,P01_01,81219,81328,0
P01_01_274,P01,P01_01,81960,82176,1
P01_01_276,P01,P01_01,83567,83707,0
P01_01_280,P01,P01_01,84780,84840,1
P01_01_282,P01,P01_01,85452,85558,1
P01_01_283,P01,P01_01,85568,85668,1
P01_01_284,P01,P01_01,85702,85751,1
P01_01_285,P01,P01_01,85769,85814,0
P01_01_287,P01,P01_01,86181,86221,1
P01_01_289,P01,P01_01,86228,86269,0
P01_01_29,P01,P01_01,5129,5189,1
P01_01_290,P01,P01_01,86293,86349,3
P01_01_291,P01,P01_01,86577,86643,1
P01_01_292,P01,P01_01,86631,86695,0
P01_01_3,P01,P01_01,766,839,3
P01_01_30,P01,P01_01,5245,5297,3
P01_01_301,P01,P01_01,92925,92991,1
P01_01_302,P01,P01_01,93006,93247,4
P01_01_303,P01,P01_01,93266,93311,1
P01_01_304,P01,P01_01,93332,93407,0
P01_01_305,P01,P01_01,93409,93520,0
P01_01_31,P01,P01_01,5551,5645,0
P01_01_311,P01,P01_01,94433,94479,1
P01_01_312,P01,P01_01,94451,94518,1
P01_01_313,P01,P01_01,94522,94637,0
P01_01_314,P01,P01_01,94666,94749,1
P01_01_315,P01,P01_01,94753,94809,0
P01_01_32,P01,P01_01,5716,5973,0
P01_01_321,P01,P01_01,97089,97230,1
P01_01_322,P01,P01_01,97259,97387,1
P01_01_323,P01,P01_01,97516,97617,6
P01_01_324,P01,P01_01,97624,97782,2
P01_01_325,P01,P01_01,97807,98014,2
P01_01_326,P01,P01_01,98021,98112,2
P01_01_328,P01,P01_01,98257,98383,0
P01_01_329,P01,P01_01,98424,98501,1
P01_01_33,P01,P01_01,6044,6135,1
P01_01_34,P01,P01_01,6099,6144,4
P01_01_35,P01,P01_01,6181,6226,4
P01_01_36,P01,P01_01,6246,6313,0
P01_01_37,P01,P01_01,6341,7321,7
P01_01_38,P01,P01_01,7327,7618,6
P01_01_39,P01,P01_01,7668,8693,7
P01_01_4,P01,P01_01,915,983,0
P01_01_40,P01,P01_01,7859,8747,7
P01_01_41,P01,P01_01,9031,9939,7
P01_01_42,P01,P01_01,9945,10816,7
P01_01_43,P01,P01_01,10822,11634,7
P01_01_44,P01,P01_01,14342,14928,7
P01_01_47,P01,P01_01,15903,15986,3
P01_01_48,P01,P01_01,16114,16154,4
P01_01_49,P01,P01_01,16225,16329,0
P01_01_5,P01,P01_01,990,1083,0
P01_01_51,P01,P01_01,16776,16881,0
P01_01_52,P01,P01_01,16887,16975,3
P01_01_54,P01,P01_01,17109,17207,1
P01_01_56,P01,P01_01,17661,17736,1
P01_01_57,P01,P01_01,17742,17982,0
P01_01_58,P01,P01_01,18075,18930,2
P01_01_59,P01,P01_01,18078,18207,6
P01_01_6,P01,P01_01,1091,1268,0
P01_01_60,P01,P01_01,18213,18929,2
P01_01_62,P01,P01_01,19095,19200,1
P01_01_63,P01,P01_01,19366,19690,7
P01_01_64,P01,P01_01,19696,20284,7
P01_01_66,P01,P01_01,20760,20860,1
P01_01_67,P01,P01_01,20839,21227,0
P01_01_69,P01,P01_01,21612,21710,3
P01_01_7,P01,P01_01,1314,1399,4
P01_01_70,P01,P01_01,21645,21784,5
P01_01_71,P01,P01_01,21784,21849,4
P01_01_72,P01,P01_01,22040,22100,0
P01_01_74,P01,P01_01,22669,22758,1
P01_01_75,P01,P01_01,22755,22872,3
P01_01_76,P01,P01_01,22891,23091,0
P01_01_77,P01,P01_01,23040,23085,0
P01_01_78,P01,P01_01,23091,23134,1
P01_01_79,P01,P01_01,23128,23302,4
P01_01_8,P01,P01_01,1390,1457,3
P01_01_80,P01,P01_01,23431,23476,0
P01_01_81,P01,P01_01,23457,23527,0
P01_01_82,P01,P01_01,23555,23925,7
P01_01_83,P01,P01_01,23724,24421,7
P01_01_84,P01,P01_01,24503,25330,7
P01_01_85,P01,P01_01,25481,25585,1
P01_01_86,P01,P01_01,25617,25761,0
P01_01_87,P01,P01_01,25784,26028,6
P01_01_9,P01,P01_01,1468,1676,0
P01_01_91,P01,P01_01,26706,26827,6
P01_01_92,P01,P01_01,27004,27048,0
P01_01_95,P01,P01_01,28050,28113,0
P01_01_96,P01,P01_01,28148,28219,0
P01_01_97,P01,P01_01,28287,28362,3
P01_01_98,P01,P01_01,28450,28633,5
P01_01_99,P01,P01_01,28604,28759,4
P01_03_1,P01,P01_03,195,352,4
P01_03_10,P01,P01_03,1486,1555,1
P01_03_11,P01,P01_03,1495,1552,1
P01_03_12,P01,P01_03,1641,1738,0
P01_03_17,P01,P01_03,2740,2862,3
P01_03_18,P01,P01_03,2881,2955,0
P01_03_19,P01,P01_03,3045,3096,1
P01_03_2,P01,P01_03,292,362,6
P01_03_20,P01,P01_03,3102,3177,0
P01_03_22,P01,P01_03,3340,3457,3
P01_03_24,P01,P01_03,3892,3988,4
P01_03_25,P01,P01_03,4175,4270,3
P01_03_26,P01,P01_03,4276,4326,1
P01_03_27,P01,P01_03,4328,4407,4
P01_03_28,P01,P01_03,4578,4623,3
P01_03_29,P01,P01_03,4700,4761,0
P01_03_30,P01,P01_03,4767,4827,4
P01_03_31,P01,P01_03,4910,4956,1
P01_03_32,P01,P01_03,5000,5053,3
P01_03_33,P01,P01_03,5114,5243,0
P01_03_34,P01,P01_03,5264,5367,4
P01_03_35,P01,P01_03,5541,5700,1
P01_03_36,P01,P01_03,5700,5836,3
P01_03_4,P01,P01_03,696,787,3
P01_03_41,P01,P01_03,6800,6879,1
P01_03_5,P01,P01_03,814,873,0
P01_03_6,P01,P01_03,891,940,0
P01_03_7,P01,P01_03,1012,1078,1
P01_03_8,P01,P01_03,1112,1155,0
P01_03_9,P01,P01_03,1180,1351,4
P01_06_1,P01,P01_06,132,196,1
P01_06_10,P01,P01_06,1721,1841,0
P01_06_100,P01,P01_06,22866,23310,2
P01_06_101,P01,P01_06,23366,23465,2
P01_06_103,P01,P01_06,23597,23993,2
P01_06_104,P01,P01_06,23999,24392,2
P01_06_106,P01,P01_06,24511,24659,2
P01_06_108,P01,P01_06,24884,26483,2
P01_06_109,P01,P01_06,25320,26595,2
P01_06_11,P01,P01_06,1824,1887,1
P01_06_110,P01,P01_06,26597,26709,2
P01_06_111,P01,P01_06,26741,26807,6
P01_06_112,P01,P01_06,26799,26919,2
P01_06_113,P01,P01_06,26925,28155,2
P01_06_118,P01,P01_06,29256,29327,0
P01_06_12,P01,P01_06,1957,2211,0
P01_06_15,P01,P01_06,3014,3121,1
P01_06_16,P01,P01_06,3324,3373,0
P01_06_18,P01,P01_06,3567,3665,1
P01_06_19,P01,P01_06,3654,3725,0
P01_06_2,P01,P01_06,344,426,3
P01_06_20,P01,P01_06,3720,3870,6
P01_06_21,P01,P01_06,3867,4155,2
P01_06_22,P01,P01_06,4146,4207,1
P01_06_23,P01,P01_06,4210,4243,0
P01_06_24,P01,P01_06,4249,4387,2
P01_06_25,P01,P01_06,4390,4430,1
P01_06_26,P01,P01_06,4429,4504,0
P01_06_27,P01,P01_06,4506,4857,2
P01_06_28,P01,P01_06,4860,4936,1
P01_06_29,P01,P01_06,4917,4966,0
P01_06_30,P01,P01_06,5000,5454,2
P01_06_31,P01,P01_06,5505,5649,1
P01_06_32,P01,P01_06,5656,5699,0
P01_06_33,P01,P01_06,5694,6446,2
P01_06_34,P01,P01_06,6450,6505,1
P01_06_35,P01,P01_06,6511,6583,0
P01_06_36,P01,P01_06,6619,7000,2
P01_06_37,P01,P01_06,6970,7035,1
P01_06_38,P01,P01_06,7083,7130,0
P01_06_39,P01,P01_06,7134,7318,2
P01_06_4,P01,P01_06,733,777,4
P01_06_40,P01,P01_06,7331,7397,1
P01_06_41,P01,P01_06,7399,7479,0
P01_06_42,P01,P01_06,7423,7489,0
P01_06_43,P01,P01_06,7469,7523,6
P01_06_44,P01,P01_06,7504,7639,2
P01_06_45,P01,P01_06,7647,8283,2
P01_06_46,P01,P01_06,8310,8454,2
P01_06_48,P01,P01_06,8595,8751,0
P01_06_49,P01,P01_06,8686,8850,2
P01_06_5,P01,P01_06,865,1013,1
P01_06_50,P01,P01_06,8840,8931,1
P01_06_51,P01,P01_06,8917,9242,2
P01_06_52,P01,P01_06,9214,9580,2
P01_06_53,P01,P01_06,9582,9626,1
P01_06_54,P01,P01_06,9617,9696,0
P01_06_55,P01,P01_06,9701,10252,2
P01_06_56,P01,P01_06,10258,10336,1
P01_06_57,P01,P01_06,10309,10500,0
P01_06_58,P01,P01_06,10485,11589,2
P01_06_6,P01,P01_06,1060,1201,0
P01_06_60,P01,P01_06,11593,11655,1
P01_06_61,P01,P01_06,11698,11770,0
P01_06_62,P01,P01_06,11840,12403,2
P01_06_63,P01,P01_06,12409,12439,1
P01_06_64,P01,P01_06,12600,12738,6
P01_06_65,P01,P01_06,12811,12876,6
P01_06_66,P01,P01_06,12864,13620,2
P01_06_67,P01,P01_06,13617,14431,2
P01_06_68,P01,P01_06,14544,14616,1
P01_06_69,P01,P01_06,14667,14890,0
P01_06_70,P01,P01_06,14848,15165,2
P01_06_71,P01,P01_06,15155,15246,1
P01_06_72,P01,P01_06,15252,16119,2
P01_06_73,P01,P01_06,16125,16200,1
P01_06_74,P01,P01_06,16206,17130,2
P01_06_75,P01,P01_06,17134,17237,1
P01_06_77,P01,P01_06,17307,17852,2
P01_06_78,P01,P01_06,17800,18027,1
P01_06_79,P01,P01_06,17994,18517,2
P01_06_8,P01,P01_06,1266,1348,1
P01_06_80,P01,P01_06,18513,18694,1
P01_06_81,P01,P01_06,18700,19194,2
P01_06_82,P01,P01_06,19190,19302,1
P01_06_83,P01,P01_06,19308,19615,2
P01_06_84,P01,P01_06,19621,19704,1
P01_06_85,P01,P01_06,19684,20022,2
P01_06_86,P01,P01_06,20026,20107,1
P01_06_87,P01,P01_06,20092,20334,2
P01_06_88,P01,P01_06,20318,20399,1
P01_06_89,P01,P01_06,20381,20470,2
P01_06_9,P01,P01_06,1320,1406,1
P01_06_90,P01,P01_06,20484,20533,1
P01_06_91,P01,P01_06,20518,20608,2
P01_06_92,P01,P01_06,20643,20700,0
P01_06_95,P01,P01_06,21654,21708,0
P01_06_96,P01,P01_06,21780,21823,1
P01_06_97,P01,P01_06,21832,21929,2
P01_06_99,P01,P01_06,22195,22860,2
P01_08_10,P01,P01_08,1800,1855,0
P01_08_12,P01,P01_08,1944,2053,1
P01_08_13,P01,P01_08,2059,2178,6
P01_08_14,P01,P01_08,2184,2746,2
P01_08_15,P01,P01_08,2664,2817,2
P01_08_16,P01,P01_08,2793,2884,5
P01_08_17,P01,P01_08,2890,3556,2
P01_08_19,P01,P01_08,3612,3729,1
P01_08_2,P01,P01_08,413,763,5
P01_08_22,P01,P01_08,4296,4368,0
P01_08_24,P01,P01_08,4788,4839,5
P01_08_25,P01,P01_08,4942,4980,0
P01_08_26,P01,P01_08,4979,5060,0
P01_08_28,P01,P01_08,5314,5423,1
P01_08_3,P01,P01_08,783,895,4
P01_08_30,P01,P01_08,5512,5565,4
P01_08_31,P01,P01_08,5806,5898,1
P01_08_4,P01,P01_08,1104,1168,3
P01_08_5,P01,P01_08,1213,1351,5
P01_08_6,P01,P01_08,1357,1420,4
P01_08_8,P01,P01_08,1581,1729,0
P01_08_9,P01,P01_08,1736,1794,1
P01_09_10,P01,P01_09,1474,1567,0
P01_09_101,P01,P01_09,20064,20152,1
P01_09_104,P01,P01_09,21511,21570,1
P01_09_108,P01,P01_09,23754,23811,0
P01_09_11,P01,P01_09,1590,1710,3
P01_09_111,P01,P01_09,24327,24432,1
P01_09_12,P01,P01_09,1791,1956,5
P01_09_124,P01,P01_09,34327,34389,5
P01_09_125,P01,P01_09,34540,34592,6
P01_09_126,P01,P01_09,34594,35824,2
P01_09_128,P01,P01_09,36018,36073,0
P01_09_13,P01,P01_09,1977,2067,4
P01_09_131,P01,P01_09,36381,36599,0
P01_09_132,P01,P01_09,36685,36876,1
P01_09_133,P01,P01_09,36921,37101,1
P01_09_134,P01,P01_09,37137,37212,1
P01_09_135,P01,P01_09,37233,37308,0
P01_09_137,P01,P01_09,37438,37491,1
P01_09_138,P01,P01_09,37506,37630,5
P01_09_139,P01,P01_09,37722,38397,0
P01_09_14,P01,P01_09,2178,2238,0
P01_09_140,P01,P01_09,38418,38480,0
P01_09_141,P01,P01_09,38511,38808,5
P01_09_142,P01,P01_09,38895,38997,0
P01_09_143,P01,P01_09,39019,39075,0
P01_09_144,P01,P01_09,39121,39353,2
P01_09_145,P01,P01_09,39430,40066,2
P01_09_146,P01,P01_09,40088,40418,2
P01_09_148,P01,P01_09,40939,41272,2
P01_09_149,P01,P01_09,41312,41370,0
P01_09_15,P01,P01_09,2244,2319,1
P01_09_151,P01,P01_09,41447,41508,1
P01_09_152,P01,P01_09,41525,41640,6
P01_09_153,P01,P01_09,41652,41839,2
P01_09_154,P01,P01_09,42000,42912,2
P01_09_155,P01,P01_09,42855,42897,1
P01_09_157,P01,P01_09,43063,43269,2
P01_09_158,P01,P01_09,43264,44461,2
P01_09_159,P01,P01_09,44466,44496,1
P01_09_16,P01,P01_09,2325,2481,0
P01_09_160,P01,P01_09,44497,44565,6
P01_09_161,P01,P01_09,44580,44748,2
P01_09_162,P01,P01_09,44715,44814,0
P01_09_163,P01,P01_09,44808,44941,2
P01_09_164,P01,P01_09,44945,44985,0
P01_09_165,P01,P01_09,44970,45315,2
P01_09_166,P01,P01_09,45309,45346,1
P01_09_167,P01,P01_09,45324,45680,2
P01_09_168,P01,P01_09,45641,45705,1
P01_09_17,P01,P01_09,2586,2688,1
P01_09_170,P01,P01_09,45889,46541,2
P01_09_171,P01,P01_09,45891,46617,2
P01_09_172,P01,P01_09,46621,46671,0
P01_09_173,P01,P01_09,46685,46944,2
P01_09_175,P01,P01_09,46993,47079,1
P01_09_176,P01,P01_09,47084,47133,0
P01_09_177,P01,P01_09,47136,47211,1
P01_09_178,P01,P01_09,47187,47229,0
P01_09_179,P01,P01_09,47285,47337,0
P01_09_18,P01,P01_09,2682,2765,3
P01_09_180,P01,P01_09,47343,47653,2
P01_09_181,P01,P01_09,47580,47640,1
P01_09_182,P01,P01_09,47650,47755,2
P01_09_184,P01,P01_09,47976,48028,1
P01_09_185,P01,P01_09,48024,48126,0
P01_09_188,P01,P01_09,48587,48670,3
P01_09_189,P01,P01_09,48679,48753,4
P01_09_19,P01,P01_09,2748,2857,5
P01_09_190,P01,P01_09,48779,49189,6
P01_09_191,P01,P01_09,49361,49406,0
P01_09_192,P01,P01_09,49408,49472,1
P01_09_193,P01,P01_09,49523,49574,3
P01_09_194,P01,P01_09,49572,49683,0
P01_09_195,P01,P01_09,49689,49728,4
P01_09_197,P01,P01_09,49833,49967,1
P01_09_198,P01,P01_09,49978,50064,0
P01_09_199,P01,P01_09,50130,50190,3
P01_09_2,P01,P01_09,402,462,1
P01_09_20,P01,P01_09,2919,3084,0
P01_09_200,P01,P01_09,50226,50511,0
P01_09_201,P01,P01_09,50451,50547,4
P01_09_206,P01,P01_09,54915,55006,1
P01_09_207,P01,P01_09,55015,55720,7
P01_09_208,P01,P01_09,55704,56317,7
P01_09_209,P01,P01_09,56992,57982,7
P01_09_21,P01,P01_09,3084,3128,1
P01_09_210,P01,P01_09,57388,59620,7
P01_09_213,P01,P01_09,60207,60255,1
P01_09_214,P01,P01_09,60326,60456,0
P01_09_215,P01,P01_09,60535,60615,0
P01_09_216,P01,P01_09,60723,60768,3
P01_09_218,P01,P01_09,60942,61023,3
P01_09_219,P01,P01_09,61045,61076,4
P01_09_22,P01,P01_09,3252,3313,0
P01_09_220,P01,P01_09,61175,61257,0
P01_09_221,P01,P01_09,61338,61383,0
P01_09_226,P01,P01_09,64991,65043,1
P01_09_227,P01,P01_09,65034,65435,7
P01_09_228,P01,P01_09,65609,65662,0
P01_09_229,P01,P01_09,65644,65811,7
P01_09_23,P01,P01_09,3305,3388,0
P01_09_230,P01,P01_09,65787,65827,1
P01_09_231,P01,P01_09,65824,65987,0
P01_09_232,P01,P01_09,65990,66139,1
P01_09_233,P01,P01_09,66244,66312,0
P01_09_234,P01,P01_09,66335,66489,7
P01_09_235,P01,P01_09,66490,66521,1
P01_09_236,P01,P01_09,66586,66679,0
P01_09_237,P01,P01_09,66655,66718,3
P01_09_238,P01,P01_09,66853,66913,0
P01_09_239,P01,P01_09,66957,67013,3
P01_09_24,P01,P01_09,3422,3489,3
P01_09_240,P01,P01_09,67134,67200,0
P01_09_241,P01,P01_09,67176,67231,1
P01_09_242,P01,P01_09,67256,67333,6
P01_09_243,P01,P01_09,67297,67448,2
P01_09_245,P01,P01_09,67656,67720,5
P01_09_246,P01,P01_09,67705,67849,5
P01_09_247,P01,P01_09,67830,67983,4
P01_09_248,P01,P01_09,68197,68312,3
P01_09_249,P01,P01_09,68272,68385,5
P01_09_25,P01,P01_09,3521,3644,5
P01_09_250,P01,P01_09,68385,68550,4
P01_09_251,P01,P01_09,68412,68542,0
P01_09_252,P01,P01_09,68781,68853,1
P01_09_254,P01,P01_09,69368,69467,0
P01_09_255,P01,P01_09,69479,69584,3
P01_09_257,P01,P01_09,69997,70051,4
P01_09_258,P01,P01_09,70130,70176,1
P01_09_259,P01,P01_09,70337,70384,6
P01_09_26,P01,P01_09,3615,3747,0
P01_09_260,P01,P01_09,70388,70523,2
P01_09_263,P01,P01_09,70966,71046,0
P01_09_264,P01,P01_09,71067,71635,7
P01_09_265,P01,P01_09,71673,72237,7
P01_09_266,P01,P01_09,72019,72838,7
P01_09_269,P01,P01_09,73639,74475,7
P01_09_27,P01,P01_09,3751,3912,1
P01_09_270,P01,P01_09,74271,74636,7
P01_09_272,P01,P01_09,75159,75361,7
P01_09_273,P01,P01_09,75478,75788,7
P01_09_275,P01,P01_09,76551,76610,1
P01_09_276,P01,P01_09,76606,76789,0
P01_09_277,P01,P01_09,76836,76873,3
P01_09_279,P01,P01_09,76942,76986,4
P01_09_28,P01,P01_09,3890,3952,3
P01_09_281,P01,P01_09,77577,77883,3
P01_09_282,P01,P01_09,77904,77958,0
P01_09_283,P01,P01_09,77962,78802,3
P01_09_284,P01,P01_09,78816,79089,0
P01_09_285,P01,P01_09,79095,79180,1
P01_09_286,P01,P01_09,79207,79552,4
P01_09_287,P01,P01_09,79758,79838,3
P01_09_288,P01,P01_09,79914,79996,5
P01_09_289,P01,P01_09,80002,80082,3
P01_09_29,P01,P01_09,3965,4025,5
P01_09_290,P01,P01_09,80088,80205,0
P01_09_291,P01,P01_09,80180,80250,4
P01_09_292,P01,P01_09,80304,80456,4
P01_09_293,P01,P01_09,80689,80749,1
P01_09_294,P01,P01_09,80728,80781,0
P01_09_295,P01,P01_09,80779,80857,6
P01_09_296,P01,P01_09,80863,81096,2
P01_09_297,P01,P01_09,81102,81170,1
P01_09_298,P01,P01_09,81171,81217,0
P01_09_299,P01,P01_09,81204,81502,2
P01_09_3,P01,P01_09,481,592,3
P01_09_30,P01,P01_09,4012,4053,4
P01_09_300,P01,P01_09,81508,81553,0
P01_09_301,P01,P01_09,81531,81595,1
P01_09_302,P01,P01_09,81564,81816,2
P01_09_304,P01,P01_09,81888,82066,0
P01_09_305,P01,P01_09,82208,82268,1
P01_09_307,P01,P01_09,82490,82565,3
P01_09_308,P01,P01_09,82601,82752,0
P01_09_309,P01,P01_09,82742,82772,4
P01_09_31,P01,P01_09,4154,4303,0
P01_09_310,P01,P01_09,82806,83012,1
P01_09_312,P01,P01_09,83034,83095,0
P01_09_313,P01,P01_09,83101,84208,7
P01_09_314,P01,P01_09,84339,85141,7
P01_09_315,P01,P01_09,85083,85858,7
P01_09_317,P01,P01_09,85905,86172,1
P01_09_318,P01,P01_09,86166,86212,1
P01_09_319,P01,P01_09,86227,86277,3
P01_09_32,P01,P01_09,4434,4514,1
P01_09_320,P01,P01_09,86316,86571,0
P01_09_321,P01,P01_09,86581,86655,1
P01_09_322,P01,P01_09,86659,86748,4
P01_09_323,P01,P01_09,86770,86815,0
P01_09_324,P01,P01_09,86862,86953,3
P01_09_326,P01,P01_09,87380,87519,4
P01_09_327,P01,P01_09,87525,87638,1
P01_09_328,P01,P01_09,87673,87772,6
P01_09_329,P01,P01_09,87775,87820,0
P01_09_33,P01,P01_09,4519,4644,4
P01_09_330,P01,P01_09,87826,87856,1
P01_09_331,P01,P01_09,87834,87870,0
P01_09_333,P01,P01_09,88274,88317,3
P01_09_335,P01,P01_09,88457,88511,4
P01_09_336,P01,P01_09,88626,88659,0
P01_09_337,P01,P01_09,88665,88735,6
P01_09_338,P01,P01_09,88743,89478,2
P01_09_34,P01,P01_09,4733,4789,1
P01_09_340,P01,P01_09,89743,89788,0
P01_09_341,P01,P01_09,89806,90249,7
P01_09_342,P01,P01_09,90286,91292,7
P01_09_343,P01,P01_09,90778,92001,7
P01_09_344,P01,P01_09,92076,92130,5
P01_09_345,P01,P01_09,92136,92202,4
P01_09_346,P01,P01_09,92521,92572,3
P01_09_347,P01,P01_09,92578,92688,5
P01_09_348,P01,P01_09,92669,92757,4
P01_09_349,P01,P01_09,93022,93143,0
P01_09_35,P01,P01_09,4795,4867,4
P01_09_350,P01,P01_09,93159,93219,3
P01_09_357,P01,P01_09,94582,94630,0
P01_09_358,P01,P01_09,94705,94800,6
P01_09_362,P01,P01_09,95355,95475,1
P01_09_364,P01,P01_09,95697,95862,0
P01_09_365,P01,P01_09,95851,96031,3
P01_09_366,P01,P01_09,96097,96352,0
P01_09_368,P01,P01_09,96471,96711,0
P01_09_369,P01,P01_09,96867,97752,0
P01_09_37,P01,P01_09,5003,5068,0
P01_09_371,P01,P01_09,98640,98715,1
P01_09_373,P01,P01_09,98921,99101,0
P01_09_374,P01,P01_09,99182,99906,1
P01_09_376,P01,P01_09,100062,100131,0
P01_09_377,P01,P01_09,100130,100175,3
